id,task_id,user_id,x,y,rad
7,1,2,0.587743149968626,0.648609077598829,0.04
8,1,2,0.644216691068814,0.320225894164401,0.04
13,1,3,0.280005436998777,0.255131167595487,0.04
14,1,3,0.687780345249422,0.312219654750578,0.04
19,1,4,0.503557744937055,0.709125029322074,0.04
20,1,4,0.678708264915162,0.310344827586207,0.04
31,1,6,0.515625,0.667410714285714,0.04
32,1,6,0.6875,0.299107142857143,0.04
37,1,7,0.336767645701984,0.750884207288944,0.04
38,1,7,0.713516838382285,0.301860679686299,0.04
49,1,9,0.296130952380952,0.316964285714286,0.04
50,1,9,0.645833333333333,0.339285714285714,0.04